City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kodiak,US,55.89,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
6,Kristiinankaupunki,FI,53.28,few clouds,62.2743,21.376,Hotel Alma
9,East London,ZA,62.28,clear sky,-33.0153,27.9116,Tu Casa
16,Codrington,AU,57.27,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
18,New Norfolk,AU,57.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
20,Nikolskoye,RU,58.89,broken clouds,59.7035,30.7861,Tourist House - Sablino
21,Saldanha,ZA,68.67,clear sky,-33.0117,17.9442,Blue Bay Lodge
24,Mount Isa,AU,64.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
28,Cherskiy,RU,68.04,overcast clouds,68.75,161.3,Gostinitsa
32,Havre-Saint-Pierre,CA,50.41,broken clouds,50.2334,-63.5986,Auberge Niapiskau
36,Hermanus,ZA,66.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
37,Kununurra,AU,64.38,few clouds,-15.7667,128.7333,Hotel Kununurra
40,Zhangye,CN,61.2,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
50,Atyrau,KZ,60.82,few clouds,47.1167,51.8833,River Palace Hotel
51,Haines Junction,CA,55.65,overcast clouds,60.7522,-137.5108,Parkside Inn
60,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
62,Athabasca,CA,65.21,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
65,Parana,AR,50.47,few clouds,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
70,Ambovombe,MG,63.86,broken clouds,-25.1667,46.0833,RELAHARA
72,Bredasdorp,ZA,57.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
76,Mar Del Plata,AR,54.12,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
78,Concordia,AR,53.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
83,Semirom,IR,63.32,clear sky,31.4167,51.5667,Motel Dena
85,Boden,SE,53.6,broken clouds,65.8252,21.6886,Quality Hotel Bodensia
90,Dunedin,NZ,53.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
93,Klyuchi,RU,58.08,clear sky,52.2667,79.1667,Vesolaya Mayovka
96,Saint-Francois,FR,61.18,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
99,Arnedo,ES,58.42,clear sky,42.2167,-2.1,Hotel Virrey
102,Karpathos,GR,68.65,clear sky,35.507,27.2132,Alex
106,Maarianhamina,AX,51.66,clear sky,60.0973,19.9348,Park Alandia Hotel
108,Ribeira Grande,PT,65.16,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
111,Port Alfred,ZA,64.06,clear sky,-33.5906,26.891,The Halyards Hotel
119,Airai,TL,59.95,scattered clouds,-8.9266,125.4092,Juvinal Martin
120,Beni,CD,62.2,overcast clouds,0.5,29.4667,Albertine hotel
127,San Cristobal,VE,67.24,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
128,Ponta Do Sol,PT,66.83,clear sky,32.6667,-17.1,Hotel do Campo
