City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marsh Harbour,BS,26.5412,-77.0636,79.52,77,97,13.35,overcast clouds
1,Parbatipur,BD,25.6649,88.9247,79.79,85,6,9.37,clear sky
2,Aksarayskiy,RU,46.7924,48.0119,66.15,51,78,7.56,broken clouds
3,Kodiak,US,57.79,-152.4072,55.89,52,12,6.13,few clouds
4,Butaritari,KI,3.0707,172.7902,82.58,72,12,8.48,light rain
5,Rikitea,PF,-23.1203,-134.9692,76.77,83,98,15.23,overcast clouds
6,Kristiinankaupunki,FI,62.2743,21.376,53.28,82,17,5.26,few clouds
7,Grindavik,IS,63.8424,-22.4338,48.67,93,75,15.55,broken clouds
8,Tiksi,RU,71.6872,128.8694,43.83,64,100,1.54,overcast clouds
9,East London,ZA,-33.0153,27.9116,62.28,39,0,9.24,clear sky
10,Lorengau,PG,-2.0226,147.2712,82.85,70,90,5.91,overcast clouds
11,Tabira,BR,-7.5908,-37.5394,72.52,73,88,10.67,overcast clouds
12,Longyearbyen,SJ,78.2186,15.6401,35.44,75,0,8.05,clear sky
13,Busselton,AU,-33.65,115.3333,46.09,78,0,7.83,clear sky
14,Tuatapere,NZ,-46.1333,167.6833,49.82,79,18,4.63,few clouds
15,Atuona,PF,-9.8,-139.0333,80.19,62,61,6.73,broken clouds
16,Codrington,AU,-38.2667,141.9667,57.27,62,100,22.57,overcast clouds
17,Vaini,TO,-21.2,-175.2,78.96,78,75,13.8,broken clouds
18,New Norfolk,AU,-42.7826,147.0587,57.92,77,100,3.0,overcast clouds
19,Manavalakurichi,IN,8.1333,77.3,80.69,85,90,11.03,overcast clouds
20,Nikolskoye,RU,59.7035,30.7861,58.89,83,70,3.65,broken clouds
21,Saldanha,ZA,-33.0117,17.9442,68.67,36,2,26.78,clear sky
22,Ushuaia,AR,-54.8,-68.3,44.26,61,40,10.36,scattered clouds
23,Jamestown,US,42.097,-79.2353,83.52,47,1,6.91,clear sky
24,Mount Isa,AU,-20.7333,139.5,64.17,36,0,8.05,clear sky
