City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-06-06 00:37:32,-53.15,-70.9167,35.71,87,0,7.05
1,Mangrol,IN,2021-06-06 00:37:32,21.1167,70.1167,84.2,68,0,4.92
2,Puerto Ayora,EC,2021-06-06 00:37:32,-0.7393,-90.3518,73.99,90,99,4.0
3,Chokurdakh,RU,2021-06-06 00:37:33,70.6333,147.9167,46.94,64,100,20.94
4,Cherskiy,RU,2021-06-06 00:37:33,68.75,161.3,69.98,26,28,22.37
5,Codrington,AU,2021-06-06 00:37:33,-38.2667,141.9667,58.05,85,100,15.14
6,Kapaa,US,2021-06-06 00:37:34,22.0752,-159.319,87.78,69,40,3.0
7,Atuona,PF,2021-06-06 00:37:34,-9.8,-139.0333,79.25,70,1,14.52
8,Rikitea,PF,2021-06-06 00:37:34,-23.1203,-134.9692,76.39,79,53,12.21
9,Adrar,MR,2021-06-06 00:37:35,20.5022,-10.0711,89.4,13,30,23.31
10,Guacimo,CR,2021-06-06 00:37:35,10.2104,-83.6807,83.84,95,23,1.97
11,Port Alfred,ZA,2021-06-06 00:37:35,-33.5906,26.891,57.2,67,0,12.59
12,Hamilton,US,2021-06-06 00:32:49,39.1834,-84.5333,81.45,56,1,3.06
13,Flinders,AU,2021-06-06 00:37:36,-34.5833,150.8552,61.81,58,5,1.99
14,Champerico,GT,2021-06-06 00:37:36,14.3,-91.9167,86.54,75,61,6.69
15,Cap Malheureux,MU,2021-06-06 00:37:36,-19.9842,57.6142,70.29,73,38,4.34
16,Ushuaia,AR,2021-06-06 00:37:37,-54.8,-68.3,33.8,86,40,8.05
17,Hobart,AU,2021-06-06 00:37:37,-42.8794,147.3294,50.25,71,75,1.01
18,Busselton,AU,2021-06-06 00:37:37,-33.65,115.3333,58.08,85,100,9.51
19,Cape Town,ZA,2021-06-06 00:37:37,-33.9258,18.4232,60.12,81,10,6.04
20,Castro,BR,2021-06-06 00:37:38,-24.7911,-50.0119,58.32,83,8,3.02
21,Geraldton,AU,2021-06-06 00:37:38,-28.7667,114.6,52.21,76,0,5.59
22,Albany,US,2021-06-06 00:35:44,42.6001,-73.9662,80.55,67,9,8.61
23,Sao Filipe,CV,2021-06-06 00:37:38,14.8961,-24.4956,76.39,69,100,6.55
24,Rassvet,RU,2021-06-06 00:37:39,46.8333,40.75,58.35,99,80,8.95
25,Dunedin,NZ,2021-06-06 00:37:39,-45.8742,170.5036,49.84,75,100,4.52
26,Thompson,CA,2021-06-06 00:37:39,55.7435,-97.8558,55.56,94,90,8.05
27,Forest Grove,US,2021-06-06 00:37:40,45.5198,-123.1107,64.67,58,75,3.0
28,Kenai,US,2021-06-06 00:37:40,60.5544,-151.2583,64.4,58,1,14.97
29,Oyem,GA,2021-06-06 00:37:40,1.5995,11.5793,67.41,99,99,1.68
30,Dikson,RU,2021-06-06 00:33:06,73.5069,80.5464,30.78,96,100,11.99
31,Bluff,NZ,2021-06-06 00:37:41,-46.6,168.3333,50.0,79,85,5.01
32,Lavrentiya,RU,2021-06-06 00:37:41,65.5833,-171.0,36.19,75,98,14.23
33,Salalah,OM,2021-06-06 00:37:41,17.0151,54.0924,84.29,84,75,2.3
34,Qaanaaq,GL,2021-06-06 00:37:42,77.484,-69.3632,37.08,77,100,6.13
35,Manama,BH,2021-06-06 00:37:42,26.2154,50.5832,93.2,38,0,5.75
36,Bodden Town,KY,2021-06-06 00:37:42,19.2833,-81.25,84.2,58,75,1.99
37,Bethel,US,2021-06-06 00:37:42,41.3712,-73.414,85.03,48,1,3.44
38,Barrow,US,2021-06-06 00:35:02,71.2906,-156.7887,33.8,80,75,10.36
39,Tuktoyaktuk,CA,2021-06-06 00:37:43,69.4541,-133.0374,37.4,81,20,14.97
40,Cartagena,CO,2021-06-06 00:35:00,10.3997,-75.5144,83.82,79,40,5.75
41,Carutapera,BR,2021-06-06 00:37:43,-1.195,-46.02,76.55,87,35,5.12
42,Komsomolskiy,UZ,2021-06-06 00:37:44,40.4272,71.7189,80.02,40,6,4.61
43,Meulaboh,ID,2021-06-06 00:37:44,4.1363,96.1285,76.03,81,100,5.03
44,Pevek,RU,2021-06-06 00:37:44,69.7008,170.3133,46.35,72,64,11.03
45,Garowe,SO,2021-06-06 00:37:45,8.4054,48.4845,76.89,69,3,17.38
46,Nikolskoye,RU,2021-06-06 00:37:45,59.7035,30.7861,54.39,60,97,4.14
47,Kovdor,RU,2021-06-06 00:37:45,67.5662,30.4758,46.11,65,1,4.14
48,Pochutla,MX,2021-06-06 00:37:45,15.7432,-96.4661,86.85,72,100,4.88
49,Leningradskiy,RU,2021-06-06 00:37:46,69.3833,178.4167,37.18,94,100,11.88
50,Mar Del Plata,AR,2021-06-06 00:35:47,-38.0023,-57.5575,50.13,62,0,8.01
